Datum,Messplatz,Fahrtrichtung,Fahrzeuge gesamt,bis 20 km/h ,über 20 km/h
01.12.13,Vaalser Str.,Innenstadt,1519,93,-
02.12.13,Neuenhofstr.,Debyestr.,998,23,-
 ,Vetschauer Weg,Laurensberger Str.,66,15,1
 ,Prämienstr.,Walheimer Str.,74,12,1
03.12.13,Kronenberg,Amsterdamer Ring,95,  5,-
 ,Monschauer Str., Schmithof,459,16,1
 ,Branderhofer Weg,Innenstadt,154,23,2
04.12.13,Purweider Weg,Laurensberg,343,56,-
 ,Welkenrather Str.,Vaalser Str.,76,26,-
05.12.13,Josefstr.,Von-Coels-Str.,470,61,-
 ,Monschauer Str.,Adenauerallee,329,  9,1
 ,Kesselstr.,Monschauer Str.,63,7,-
06.12.13,Passstr.,Jülicher Str.,451,30,-
 ,Monschauer Str.,Lichtenbusch,1027,21,2
 ,Alte Vaalser Str.,Vaalser Str.,65,12,-
09.12.13,Karl-Marx-Allee,Adenauerallee,140,16,5
 ,Limburger Str.,Hohenstaufenallee,301,34,-
 ,Passstr.,Krefelder Str.,70,14,-
10.12.13,Krefelder Str.,Innenstadt,715,8,-
 ,Haarener Gracht,Haaren-Mitte,132,4,-
 ,Vaalser Str.,Innenstadt,1110,40,-
 ,Jülicher Str.,Innenstadt,441,18,4
 ,Krefelder Str.,Würselen,678,38,11
11.12.13,Vaalser Str.,Innenstadt,1620,28,1
 ,Adenauerallee,Trierer Str.,868,12,-
 ,Josefstr.,Von-Coels-Str.,144,20,2
 ,Lütticher Str.,Belgien,262,34,5
12.12.13,Peliserkerstr.,Jülicher Str.,210,32,8
 ,Schurzelter Str.,Seffent,278,16,-
12.12.13,Purweider Weg,Merowingerstr.,230,24,1
13.12.13,Vaalser Str.,Innenstadt,1001,22,-
 ,Jülicher Str.,Innenstadt,701,43,-
 ,Prager Ring,Krefelder Str.,750,35,7
14.12.13,Vaalser Str.,Grenze,728,43,-
 ,Prager Ring,Krefelder Str.,1297,35,3
15.12.13,Jülicher Str.,Haaren,274,20,4
16.12.13,Prämienstr.,Walheimer Str.,124,30,3
 ,Auf der Hüls,Charlottenburger Allee,273,37,3
 ,Trierer Str.,Brand,1056,24,2
17.12.13,Kalkbergstr.,Verlautenheidener Str.,163,13,-
 ,Saarstr.,Monheimsallee,1487,26,3
 ,Albert-Einstein-Str.,Aachener Str.,73,5,-
18.12.13,Trierer Str.,Innenstadt,1402,12,-
 ,Prager Ring,Krefelder Str.,1679,79,4
 ,Hofenbornstr.,Hüls,69,11,1
19.12.13,Branderhofer Weg,Innenstadt,258,25,1
 ,Trierer Str.,Brand,945,42,-
 ,Trierer Str.,Innenstadt,1059,26,1
20.12.13,Monschauer Str.,Innenstadt,743,15,2
 ,Vetschauer Weg,Horbacher Str.,63,14,1
27.12.13,Krefelder Str.,Würselen,321,46,4
 ,Jülicher Str.,Haaren,528,32,2
28.12.13,Prager Ring,Krefelder Str.,1772,64,2
 ,Lütticher Str.,Belgien,531,42,3
29.12.13,Trierer Str.,Kornelimünster,95,7,-
 ,Ludwigsallee,Ponttor,552,49,1
30.12.13,Vaalser Str.,Niederlande,347,25,-
 ,Neuenhofstr.,Debyestr.,1035,38,-
