Datum,Messplatz,Fahrtrichtung,Fahrzeuge gesamt,bis 20 km/h ,über 20 km/h
02.05.13,Reinhardstr.,Neuenhofstr.,251,33,1
 ,Schloßparkstr.,Soers,121,1,-
 ,Von-Coels-Str.,Lindenstr.,536,6,-
 ,Krefelder Str.,Würselen,679,38,7
 ,Prämienstr.,Schleidener Str.,71,17,3
03.05.13,Aachener Str.,Oberforstbach,193,11,-
 ,Adenauerallee,Monschauer Str.,628,3,-
 ,Jülicher Str.,Haaren,731,38,-
04.05.13,Krefelder Str.,Innenstadt,514,67,3
05.05.13,Vaalser Str.,Innenstadt,244,47,7
 ,Trierer Str.,Kornelimünster,949,25,2
06.05.13,Maria-Theresia-Allee,Luxemburger Ring,235,39,-
 ,Purweider Weg,Merowingerstr.  ,223,12,-
07.05.13,Friedenstr.,In den Atzenbenden,118,19,3
 ,Monschauer Str.,Lichtenbusch,490,8,4
08.05.13,Krefelder Str.,Würselen,521,42,10
 ,Josefstr.,Von-Coels-Str.,173,32,-
10.05.13,Trierer Str.,Brand,855,18,4
 ,Josefstr.,Nirmer Str.,263,21,-
11.05.13,Eupener Str.,Grenze,361,96,18
 ,Roermonder Str.,Richterich,544,1,-
12.05.13,Prager Ring,Krefelder Str.,426,51,9
13.05.13,Aachener und Münchener Allee,Kaiser-Friedrich-Allee,132,11,5
 ,Prager Ring,Krefelder Str.,1565,100,-
14.05.13,Sittarder Str.,Königsberger Str.,59,4,-
 ,Saarstr.,Monheimsallee,937,29,-
 ,Aretzstr.,Peliserkerstr.,347,12,2
 ,Hohenstaufenallee,Lütticher Str.,348,13,1
15.05.13,Ronheider Weg,Weißhausstr.,100,19,-
15.05.13,Karlstr.,Von-Coels-Str.,57,5,-
 ,Welkenrather Str.,Junkerstr.,32,1,2
16.05.13,Krefelder Str.,Würselen,970,69,-
17.05.13,Maria-Theresia-Allee,Innenstadt,188,13,-
 ,Maria-Theresia-Allee,Luxemburger Ring,341,34,-
 ,Jülicher Str.,Innenstadt,291,5,-
18.05.13,Roermonder Str.,Richterich,494,23,1
 ,Adenauerallee,Trierer Str.,749,42,2
21.05.13,Kornelimünsterweg,Adenauerallee,325,29,4
 ,Berensberger Str.,Berensberg,129,26,7
22.05.13,Schurzelter Str.,Seffent,238,24,-
 ,Haarener Gracht,Haaren-Mitte,231,9,-
 ,Limburger Str.,Lütticher Str.,132,19,3
 ,Schlossparkstr.,Soers,112,21,4
23.05.13,Branderhofer Weg,Innenstadt,273,34,3
 ,Welkenrather Str.,Vaalser Str.,120,30,1
 ,Aureliusstr.,Theaterstr.    ,74,19,2
 ,Alte Vaalser Str.,Vaalserquartier,88,-,-
24.05.13,Rombachstr.,Schulzentrum-Brand,566,51,-
 ,Karl-Marx-Allee,Friedrich-Ebert-Allee,463,22,7
 ,Ludwigsallee,Ponttor,1761,95,18
25.05.13,Lütticher Str.,Kelmis,514,58,14
26.05.13,Jülicher Str.,Innenstadt,294,21,7
27.05.13,Prämienstr.,Walheimer Str.,60,8,-
 ,Reinhardstr.,Trierer Str.,152,30,-
 ,Aretzstr.,Adalbertsteinweg,124,9,2
28.05.13,Ferberberg,Strüverweg,140,-,-
 ,Saarstr.,Monheimsallee,1112,39,10
 ,Krefelder Str.,Würselen,631,30,1
 ,Vaalser Str.,Innenstadt,1109,57,-
29.05.13,In den Atzenbenden,Haaren – Mitte,93,13,-
 ,Purweider Weg,Merowingerstr.,335,86,-
29.05.13,Merowingerstr.,Krefelder Str.,158,17,4
 ,Roermonder Str.,Richterich,355,11,2
31.05.13,Trierer Str.,Brand,966,25,1
 ,Jülicher Str.,Haaren,754,19,2
 ,Lütticher Str.,Grenze,543,15,-
