Datum,Messplatz,Fahrtrichtung,Fahrzeuge gesamt,bis 20 km/h ,über 20 km/h
01.02.2013,Münsterstr.,Brand,98,21,5
 ,Nordstr.,Trierer Str.,210,7,-
02.02.2013,Lütticher Str.,Belgien,346,12,3
03.02.2013,Jülicher Str.,Innenstadt,243,16,3
 ,Alt Haarener Str.,Haaren-Mitte,146,4,-
04.02.2013,Trierer Str.,Kornelimünster,506,21,-
 ,Münsterstr.,Oberforstbacher Str.,74,15,-
 ,Branderhofer Weg,Innenstadt,190,28,4
 ,Walheimer Str.,Monschauer Str.,39,9,3
05.02.2013,Raafstr.,Oberforstbach,84,21,3
 ,In den Atzenbenden,Haaren – Mitte,80,10,1
 ,Maria-Theresia-Allee,Luxemburger Ring,236,38,-
 ,Josefstr.,Nirmer Str.,143,15,-
06.02.2013,Eupener Str.,Belgien,168,33,8
 ,Prager Ring,Krefelder Str.,953,33,2
 ,Roermonder Str.,Richterich,184,15,2
 ,Obere-Drimbornstr.,Adenauerallee,64,9,4
 07.02.13,Bleiberger Str.,Vaalser Str.,93,1,-
 ,Schleidener Str.,Roetgen,202,13,-
08.02.2013,Vaalser Str.,Innenstadt,1394,83,2
 ,Neuenhofstr.,Debyestr.,276,8,-
 ,Aretzstr.,Peliserkerstr.,159,28,4
 ,Monschauer Str.,Lichtenbusch,527,17,2
09.02.2013,Roermonder Str.,Richterich,187,9,1
 ,Freunder Landstr.,Stolberg,501,10,1
10.02.2013,Krefelder Str.,Innenstadt,38,10,-
 ,Adenauerallee,Monschauer Str.,506,9,-
12.02.2013,Eupener Str.,Jahnplatz,410,7,-
 ,Lütticher Str.,Belgien,96,11,-
12.02.2013,Haarener Gracht,Haaren - Markt,99,4,-
 ,Würselener Str.,Haaren - Mitte,88,18,1
13.02.2013,Aureliusstr.,Theaterstr.,150,19,3
 ,Welkenrather Str.,Vaalser Str.,35,8,1
 ,Saarstr.,Monheimsallee,1207,33,1
 ,Monschauer Str.,Lichtenbusch,455,22,4
14.02.2013,Branderhofer Weg,Innenstadt,302,46,-
 ,Eupener Str.,Grenze,169,25,4
 ,Aachener und Münchener Allee,Kaiser-Friedrich-Allee,73,24,4
15.02.2013,Auf der Hüls,Charlottenburger Allee,235,23,1
 ,Prager Ring,Krefelder Str.,866,57,2
 ,Schurzelter Str.,Seffent,158,20,2
 ,Karl-Marx-Allee,Adenauerallee,77,19,4
16.02.2013,Roermonder Str.,Laurensberg,716,27,5
17.02.2013,Ludwigsallee,Ponttor,838,52,10
19.02.2013,Aachener und Münchener Allee,Kaiser-Friedrich-Allee,100,17,2
 ,Hofenbornstr.,Hüls,93,5,-
20.02.2013,Karl-Marx-Allee,Friedrich-Ebert-Allee,528,56,14
 ,Schleidener Str.,Walheim,141,26,5
21.02.2013,Peliserkerstr.,Josef-von-Görres-Str.,122,9,-
 ,Lütticher Str.,Innenstadt,236,46,12
 ,Limburger Str. ,Lütticher Str.,265,38,2
 ,Lütticher Str.,Innenstadt,247,5,-
22.02.2013,Prager Ring,Krefelder Str.,548,37,3
 ,Jülicher Str.,Innenstadt,626,37,3
23.02.2013,Neuenhofstr.,Madrider Ring,249,2,-
24.02.2013,Krefelder Str.,Innenstadt,33,4,-
25.02.2013,Sittarder Str.,Schopenhauerstr.,251,37,1
 ,Welkenrather Str.,Vaalser Str.,71,13,3
26.02.2013,Paßstr.,Jülicher Str.,318,19,5
26.02.2013,Krefelder Str.,Würselen,880,116,18
 ,Peliserker Str.,Jülicher Str.,76,10,-
27.02.2013,Eupener Str.,Innenstadt,720,35,1
 ,Jülicher Str.,Haaren,211,14,2
 ,Purweider Weg,Merowingerstr.,206,50,1
28.02.2013,Karl-Marx-Allee,Adenauerallee,332,82,12
 ,Branderhofer Weg,Adenauerallee,51,7,-
 ,Karl-Marx-Allee,Friedrich-Ebert-Allee,376,90,2
 ,Kalkbergstr.,Verlautenheidener Str.,264,47,-
