Datum,Messplatz,Fahrtrichtung,Fahrzeuge gesamt,bis 20 km/h,über 20 km/h
01.09.13,Ludwigsallee,Ponttor,479,28,4
,Saarstr.,Monheimsallee,666,19,7
02.09.13,Adalbertsteinweg,Trierer Str.,586,21,3
,Kalkbergstr.,Verlautenheidener Str.,73,12,2
03.09.13,Passstr.,Jülicher Str.,293,18,3
,Lütticher Str.,Innenstadt,307,51,7
04.09.13,Karl-Marx-Allee,Adenauerallee,226,22,7
,Trierer Str.,Brand,731,35,7
05.09.13,Karl-Marx-Allee,Adenauerallee,301,29,10
,Roermonder Str.,Kohlscheid,557,1,-
06.09.13,Forster Weg,Karl-Marx-Allee,130,31,8
,Aureliusstr.,Theaterstr.,97,14,1
07.09.13,Trierer Str.,Innenstadt,2149,66,4
,Prager Ring,Krefelder Str.,873,80,3
08.09.13,Trierer Str.,Innenstadt,286,5,-
,Krefelder Str.,Innenstadt,503,42,4
09.09.13,Peliserkerstr.,Jülicher Str.,316,19,4
,Karlstr.,Brühlstr.,96,12,-
10.09.13,Branderhofer Weg,Innenstadt,209,31,7
,Raafstr.,Eynatten,66,14,3
11.09.13,Passstr.,Krefelder Str.,129,10,1
,Kronenberg,Amsterdamer Ring,126,7,-
12.09.13,Limburger Str.,Lütticher Str.,179,22,4
,Bleiberger Str.,Vaalser Str.,161,15,3
13.09.13,Jülicher Str.,Haaren,387,28,4
,Raafstr.,Oberforstbach,123,21,2
14.09.13,Berensberger Str.,Roermonder Str.,281,45,3
15.09.13,Jülicher Str.,Innenstadt,208,14,3
16.09.13,Purweider Weg,Merowingerstr.,94,20,4
16.09.13,Prämienstr.,Schleidener Str.,83,19,3
,Roermonder Str.,Richterich,345,16,1
17.09.13,Karl-Marx-Allee,Friedrich-Ebert-Allee,379,7,1
,Schleidener Str.,Roetgen,197,23,2
,Albert-Einstein-Str.,Aachener Str.,75,12,1
18.09.13,Jülicher Str.,Innenstadt,305,18,1
,Ferberberg,Strüverweg,62,25,3
,Branderhofer Weg,Adenauerallee,145,19,2
19.09.13,Alte Vaalser Str.,Vaalserquartier,115,11,1
,Reinhardstr.,Trierer Str.,123,25,-
,Roermonder Str.,Laurensberg,237,15,2
20.09.13,Jülicher Str.,Haaren,802,25,-
,Jülicher Str.,Innenstadt,753,21,1
,Monschauer Str.,Schmithof,913,31,5
21.09.13,Roermonder Str.,Richterich,165,25,1
,Jülicher Str.,Haaren,195,19,-
22.09.13,Jülicher Str.,Innenstadt,168,11,1
,Roermonder Str.,Richterich,203,16,2
23.09.13,Adalbertsteinweg,Kaiserplatz,658,29,5
,Aretzstr.,Peliserkerstr.,266,7,2
,Branderhofer Weg,Innenstadt,341,28,2
,Jülicher Str.,Haaren,854,21,1
24.09.13,Alt Haarener Str.,Haaren-Mitte,392,2,1
,Von-Coels-Str.,Lindenstr.,750,5,-
,Obere Drimbornstr.,Adenauerallee,52,9,1
25.0913,Trierer Str.,Brand,744,15,-
,Alt Haarener Str.,Haaren-Mitte,365,1,-
,Peliserkerstr.,Jülicher Str.,391,44,8
,Schloss-Rahe-Str.,Roermonder Str.,116,19,5
26.09.13,Alt Haarener Str.,Haaren- Mitte,344,3,1
,Vaalser Str.,Innenstadt,268,10,2
,Trierer Str.,Innenstadt,1264,29,2
27.09.13,Eupener Str.,Grenze,437,80,13
27.09.13,Trierer Str.,Brand,973,21,3
28.09.13,Saarstr.,Monheimsallee,1596,41,7
,Alt Haarener Str.,Haaren-Mitte,426,4,-
29.09.13,Krefelder Str.,Würselen,662,73,18
,Trierer Str.,Innenstadt,1354,41,4
30.09.13,Ronheider Weg,Weißhausstr.,102,34,2
,Lintertstr.,Forst,217,24,1
