Datum,Messplatz,Fahrtrichtung,Fahrzeuge gesamt,bis 20 km/h ,über 20 km/h
01.08.13,Aachener Str.,Walheim,138,2,-
,Passstr.,Jülicher Str.,225,25,-
,Roermonder Str.,Richterich,141,7,-
02.08.13,Purweider Weg,Merowingerstr.,169,41,8
,Am Hangeweiher,Kaiser-Friedrich-Allee,54,14,-
03.08.13,Saarstr.,Monheimsallee,1204,46,9
04.08.13,Jülicher Str.,Innenstadt,174,10,3
05.08.13,Branderhofer Weg,Kornelimünsterweg ,33,5,-
,Horbacher Str.,Horbach,252,34,-
06.08.13,Vaalser Str.,Innenstadt,870,37,-
,Trierer Str.,Innenstadt,594,11,1
07.08.13,Lütticher Str.,Belgien,412,18,1
,Trierer Str.,Innenstadt,1595,24,1
08.08.13,Trierer Str.,Innenstadt,1211,12,-
,Prager Ring,Krefelder Str.,543,23,-
09.08.13,Trierer Str.,Kornelimünster,1553,45,2
,Muffeter Weg,Maastrichter Str.,111,5,-
10.08.13,Trierer Str.,Kornelimünster,1841,44,2
,Roermonder Str.,Richterich,379,25,2
11.08.13,Trierer Str.,Innenstadt,950,98,5
,Aachener Str.,Nütheim,119,17,-
12.08.13,Krefelder Str.,Würselen,333,45,5
,Eupener Str.,Innenstadt,574,55,4
13.08.13,Aachener Str.,Hitfeld,1124,194,5
,Trierer Str.,Innenstadt,1320,33,-
14.08.13,Schleidener Str.,Kornelimünster,506,28,1
,Jülicher Str.,Haaren,722,41,-
15.08.13,Trierer Str.,Innenstadt,1120,32,-
,Trierer Str.,Innenstadt,1759,52,-
20.08.13,Trierer Str.,Innenstadt,779,13,1
21.08.13,Jülicher Str.,Haaren,954,55,8
,Roermonder Str.,Laurensberg,432,14,1
22.08.13,Trierer Str.,Kornelimünster,457,12,-
,Welkenrather Str.,Vaalser Str.,100,16,2
23.08.13,Jülicher Str.,Innenstadt,607,25,4
24.08.13,Prager Ring,Krefelder Str.,670,112,8
,Trierer Str.,Innenstadt,895,5,-
25.08.13,Trierer Str.,Innenstadt,651,50,-
,Jülicher Str.,Innenstadt,171,18,-
26.08.13,Trierer Str.,Brand,603,7,-
,Kronenberg,Vaalser Str.,83,17,3
27.08.13,Krefelder Str.,Würselen,792,96,18
,Albert-Einstein-Str.,Prämienstr.,79,21,2
28.08.13,Kornelimünsterweg,Adenauerallee,624,29,7
,Monschauer Str.,Lichtenbusch,312,10,5
29.08.13,Jülicher Str.,Haaren,840,54,8
,Prämienstr.,Walheimer Str.,109,22,3
30.08.13,Nerscheider Weg,Pascalstr.,169,14,4
,Aachener Str.,Walheim,364,9,-
31.08.13,Prager Ring,Krefelder Str.,2267,68,12
